product,channel,spend_aed,sales_aed,conversions,roas,cpa_aed,roas_index_vs_product
Galaxy Buds3,B2B Roadshow,90140.0,339697.0,942.0,3.7685489238961614,95.6900212314225,0.3906519533901863
Galaxy Buds3,Influencer,228612.0,375061.0,1091.0,1.6406006683813623,209.5435380384968,0.1700664814970262
Galaxy Buds3,Paid Social,767356.0,8078983.0,28496.0,10.528337564311741,26.928551375631667,1.0913791272205295
Galaxy Buds3,Retail,30918.0,261851.0,881.0,8.469208875088945,35.09421112372304,0.8779275677552971
Galaxy Buds3,Search,646792.0,15411373.0,38086.0,23.827402008682853,16.982408233996743,2.4699748701369613
Galaxy Buds3,Website,0.0,11895117.0,35992.0,,0.0,
Galaxy S24,B2B Roadshow,172216.0,636203.0,1783.0,3.6942154039113673,96.5877734155917,0.36969280131951016
Galaxy S24,Influencer,238776.0,543276.0,1570.0,2.2752537943511912,152.08662420382166,0.22769244805160735
Galaxy S24,Paid Social,863013.0,6422185.0,26273.0,7.441585468585062,32.84790469303087,0.7447049717856076
Galaxy S24,Retail,61888.0,688094.0,1625.0,11.11837512926577,38.084923076923076,1.1126539192347678
Galaxy S24,Search,713582.0,18149161.0,45461.0,25.433882861395045,15.69657508633774,2.5452558596085066
Galaxy S24,Website,0.0,14717674.0,44363.0,,0.0,
Galaxy Tab S10,B2B Roadshow,130293.0,733110.0,1813.0,5.626626142617025,71.86596800882515,0.5192578282281027
Galaxy Tab S10,Influencer,251387.0,495745.0,1456.0,1.9720391269238267,172.6559065934066,0.1819912551984544
Galaxy Tab S10,Paid Social,885049.0,6869426.0,25160.0,7.761633536674241,35.17682829888712,0.7162887441960608
Galaxy Tab S10,Retail,65492.0,1087120.0,2727.0,16.599279301288707,24.016134946828018,1.5318781631597633
Galaxy Tab S10,Search,714437.0,15874736.0,37716.0,22.219924220050192,18.94254427829038,2.0505840092176184
Galaxy Tab S10,Website,0.0,13871962.0,42943.0,,0.0,
Galaxy Watch6,B2B Roadshow,175833.0,688146.0,1575.0,3.913633959495658,111.64,0.40263219971525166
Galaxy Watch6,Influencer,265288.0,618749.0,1853.0,2.3323670878441543,143.16675661090125,0.23995245872282997
Galaxy Watch6,Paid Social,903675.0,8286483.0,28163.0,9.169760146070214,32.08731314135568,0.9433791552006268
Galaxy Watch6,Retail,62132.0,685184.0,1479.0,11.027876134681001,42.00946585530764,1.1345409591821243
Galaxy Watch6,Search,770697.0,17076311.0,41353.0,22.156970897771757,18.63702754334631,2.279495227179167
Galaxy Watch6,Website,0.0,14764188.0,44344.0,,0.0,
Galaxy Z Flip8,B2B Roadshow,130298.0,500261.0,1551.0,3.839360542755837,84.00902643455835,0.3965653127272636
Galaxy Z Flip8,Influencer,290420.0,574206.0,1646.0,1.9771572205770953,176.43985419198057,0.2042194169465334
Galaxy Z Flip8,Paid Social,888990.0,8011322.0,28802.0,9.011712167740919,30.86556489132699,0.9308144974170858
Galaxy Z Flip8,Retail,55874.0,642835.0,1627.0,11.505082865017718,34.34173325138291,1.1883533035019225
Galaxy Z Flip8,Search,815794.0,18008128.0,47078.0,22.07435700679338,17.328561111347128,2.2800474694071946
Galaxy Z Flip8,Website,0.0,14129935.0,45244.0,,0.0,
Galaxy Z Fold8,B2B Roadshow,176266.0,813285.0,2041.0,4.61396412240591,86.3625673689368,0.44495561709223025
Galaxy Z Fold8,Influencer,280849.0,635976.0,1718.0,2.2644766404722825,163.4743888242142,0.218378724719447
Galaxy Z Fold8,Paid Social,1015132.0,8555614.0,29605.0,8.428080289065855,34.28920790407026,0.812776512004756
Galaxy Z Fold8,Retail,52813.0,628503.0,1588.0,11.900535852915002,33.25755667506297,1.1476487752576772
Galaxy Z Fold8,Search,844131.0,20799732.0,51736.0,24.640407709229965,16.316124168857275,2.37624037092589
Galaxy Z Fold8,Website,0.0,15419773.0,49447.0,,0.0,
