week,market,channel,spend_aed,impressions,clicks,conversions,sales_aed,tv_grp,engagement_rate,sessions,pr_mentions,pr_share_of_voice,products_active,media_type,channel_role,revenue_attributed,cpm_aed,cpc_aed,ctr,cvr,cpa_aed,roas,aov_aed,cost_per_grp_aed
1,SEEG,Influencer,23465.0,,,63.0,26470.0,,3.8549999999999995,,,,4,paid,response,True,,,,,372.46031746031747,1.1280630726614107,420.1587301587302,
1,SEEG,PR,0.0,,,,,,,,191.0,33.95,4,earned,brand,False,,,,,,,,
1,SEEG,Paid Social,89434.0,2418114.0,28623.0,2735.0,664449.0,,1.24,,,,6,paid,response,True,36.98502221152518,3.124550186912623,0.011836910914870019,0.09555252768752402,32.69981718464351,7.429489903168817,242.94296160877514,
1,SEEG,Search,56900.0,1471695.0,24757.0,3405.0,1430038.0,,1.72,,,,3,paid,response,True,38.662902299729225,2.298339863472957,0.01682209968777498,0.13753685826230966,16.71071953010279,25.132478031634445,419.98179148311306,
1,SEEG,TV,159177.0,,,,,1636.0,,,,,3,paid,brand,False,,,,,,,,97.29645476772616
1,SEEG,Website,,,,3340.0,1155936.0,,,247305.0,,,3,earned,owned,True,,,,,,,346.08862275449104,
1,SEIL,Influencer,18743.0,,,119.0,41288.0,,4.245,,,,4,paid,response,True,,,,,157.50420168067228,2.2028490636504294,346.9579831932773,
1,SEIL,PR,0.0,,,,,,,,299.0,28.275,4,earned,brand,False,,,,,,,,
1,SEIL,Paid Social,65761.0,2466276.0,23838.0,1779.0,377406.0,,1.2066666666666668,,,,6,paid,response,True,26.664087879864216,2.758662639483178,0.009665584873712432,0.07462874402214952,36.96514896008994,5.73905506303128,212.1450252951096,
1,SEIL,Search,84036.0,1624681.0,26987.0,2770.0,976841.0,,1.67,,,,3,paid,response,True,51.72461547836159,3.113943750694779,0.016610645412853352,0.10264201282098788,30.337906137184117,11.624077776191156,352.65018050541516,
1,SEIL,TV,220352.0,,,,,2137.0,,,,,3,paid,brand,False,,,,,,,,103.1127749181095
1,SEIL,Website,,,,4406.0,1521288.0,,,323811.0,,,3,earned,owned,True,,,,,,,345.2764412165229,
1,SELV,Influencer,28166.0,,,91.0,31303.0,,4.0825,,,,4,paid,response,True,,,,,309.5164835164835,1.111375417169637,343.989010989011,
1,SELV,PR,0.0,,,,,,,,237.0,29.925,4,earned,brand,False,,,,,,,,
1,SELV,Paid Social,82832.0,2990153.0,31777.0,2925.0,1029484.0,,1.03,,,,6,paid,response,True,27.70159252720513,2.6066651980992543,0.010627215396670338,0.09204770746137143,28.31863247863248,12.428578327216535,351.9603418803419,
