week,market,product,spend_aed,conversions,sales_aed,impressions,channels_active,roas,aov_aed,cpa_aed
1,SEEG,Galaxy Buds3,2570.0,107.0,39806.0,121926.0,1,15.488715953307393,372.01869158878503,24.018691588785046
1,SEEG,Galaxy S24,104045.0,2803.0,1005286.0,1338247.0,6,9.662030852035176,358.6464502318944,37.11915804495184
1,SEEG,Galaxy Tab S10,4262.0,99.0,26079.0,117905.0,1,6.118958235570155,263.42424242424244,43.05050505050505
1,SEEG,Galaxy Watch6,96077.0,2510.0,933554.0,916350.0,6,9.716727208384942,371.9338645418327,38.277689243027886
1,SEEG,Galaxy Z Flip8,3702.0,78.0,25120.0,102135.0,3,6.785521339816316,322.05128205128204,47.46153846153846
1,SEEG,Galaxy Z Fold8,118320.0,3946.0,1247048.0,1293246.0,6,10.539621365787694,316.02838317283323,29.98479472883933
1,SEIL,Galaxy Buds3,2780.0,51.0,16672.0,137734.0,1,5.997122302158274,326.9019607843137,54.509803921568626
1,SEIL,Galaxy S24,112829.0,2470.0,686945.0,1276354.0,6,6.0883726701468595,278.11538461538464,45.67975708502024
1,SEIL,Galaxy Tab S10,2861.0,138.0,37109.0,153814.0,1,12.970639636490738,268.90579710144925,20.731884057971016
1,SEIL,Galaxy Watch6,119652.0,3458.0,1106065.0,1234097.0,6,9.244015979674389,319.8568536726431,34.6015037593985
1,SEIL,Galaxy Z Flip8,3560.0,120.0,37417.0,114770.0,3,10.510393258426966,311.80833333333334,29.666666666666668
1,SEIL,Galaxy Z Fold8,147210.0,2837.0,1032615.0,1174188.0,6,7.014571020990422,363.9813182939725,51.889319703912584
1,SELV,Galaxy Buds3,2785.0,122.0,43512.0,92428.0,1,15.623698384201077,356.655737704918,22.827868852459016
1,SELV,Galaxy S24,118059.0,3678.0,1333830.0,1398150.0,6,11.297995070261479,362.65089722675367,32.098694942903755
1,SELV,Galaxy Tab S10,4434.0,65.0,13543.0,143656.0,1,3.0543527289129453,208.35384615384615,68.21538461538462
1,SELV,Galaxy Watch6,114786.0,2627.0,965950.0,1206862.0,6,8.415224853205094,367.70079939094023,43.69470879330034
1,SELV,Galaxy Z Flip8,4629.0,106.0,35988.0,121752.0,3,7.774465327284511,339.50943396226415,43.66981132075472
1,SELV,Galaxy Z Fold8,139745.0,4013.0,1539533.0,1796137.0,6,11.016730473362195,383.63643159730873,34.82307500622975
1,SEMAG,Galaxy Buds3,3984.0,84.0,32802.0,126935.0,1,8.233433734939759,390.5,47.42857142857143
1,SEMAG,Galaxy S24,93862.0,2455.0,611536.0,1184654.0,6,6.515267094244742,249.09816700610997,38.23299389002037
1,SEMAG,Galaxy Tab S10,2591.0,54.0,17102.0,73316.0,1,6.600540331918178,316.7037037037037,47.98148148148148
1,SEMAG,Galaxy Watch6,81803.0,3221.0,1215721.0,1030947.0,6,14.861569869075707,377.4358894753182,25.396771189071718
1,SEMAG,Galaxy Z Flip8,4676.0,81.0,31642.0,85972.0,3,6.766894781864842,390.641975308642,57.72839506172839
1,SEMAG,Galaxy Z Fold8,93929.0,3405.0,977485.0,1042775.0,6,10.406636927892345,287.0734214390602,27.5856093979442
1,SEPAK,Galaxy Buds3,2191.0,55.0,20104.0,89783.0,1,9.175718849840255,365.5272727272727,39.836363636363636
1,SEPAK,Galaxy S24,88140.0,1696.0,591586.0,699633.0,6,6.711890174722033,348.8125,51.969339622641506
1,SEPAK,Galaxy Tab S10,2593.0,75.0,26083.0,119366.0,1,10.05900501349788,347.7733333333333,34.57333333333333
1,SEPAK,Galaxy Watch6,93262.0,2261.0,746744.0,955653.0,6,8.006948167528039,330.2715612560814,41.24812030075188
